Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC101929505	1.1094249130706	2.01035860682954	2.03662584771075	0.0509147859390684	0.182882676433551	-4.61610965607469
LOC101927699	1.10958443198967	3.84580347475147	3.53675467299486	0.00138469095166386	0.0146596186089947	-1.32368300434904
ZNF83	1.10982133199736	5.73649813495972	3.308453940885	0.00251272372320928	0.0225397642905729	-1.88412011532057
RP11-295G20.2	1.11040157559077	4.6797940626791	2.48917168522472	0.0187930759025138	0.0926168008555612	-3.73675913367122
FAM47E	1.11061022661624	1.55005011085434	1.72995615498834	0.0942758260465177	0.275483591578345	-5.13687927697628
ATP12A	1.11089194516824	2.77060756390839	2.42758472723	0.0216429502483946	0.101931591376397	-3.86341892390784
METTL21EP	1.11104864871484	2.87997731456348	2.81553188687541	0.00866763377666593	0.053213977141003	-3.03336944353029
ELOVL2-AS1	1.1125725895225	3.96753584408102	2.07767507523107	0.0467050955385617	0.172855709579156	-4.54152438397489
GKN2	1.11291188214323	2.71540473449722	2.21284179285952	0.0349412246295191	0.141716528517385	-4.28832196001113
RP11-10K16.1	1.11325785759019	1.09643486681227	1.75344620982439	0.0900974945808903	0.268205679349771	-5.0993613334962
RAB9B	1.1134749325405	2.95861552352911	2.04216107567811	0.0503282805564405	0.181441011448112	-4.60611665742129
FAM24B	1.11360468540463	3.15766503075596	2.56030595833522	0.0159332349690037	0.0820739567391516	-3.58795332892019
SLC7A10	1.11360840398934	1.95471842531058	1.65178389259891	0.109374057123362	0.302111312218612	-5.25876411790717
PABPC3	1.11381807077742	10.7142674859916	5.43304435610534	7.63194289003133e-06	0.000330541248589937	3.66306804594994
SCN4B	1.11383970818578	2.38040263483068	2.0468933625352	0.0498315856004287	0.180450200537957	-4.59755726936468
OVCH1-AS1	1.11389439815217	3.13693173450659	2.97348186695078	0.00587682259387024	0.0406298845995967	-2.67537705948317
SRSF12	1.1145076895398	2.40419075752162	2.58413960392124	0.0150688407671196	0.0789280717732006	-3.53751002303286
NLRP2	1.11469017395494	2.46509185658298	1.65422679382138	0.108873417639434	0.301507451180913	-5.25502515007957
CKAP2	1.11595102822741	4.4805993234751	3.72681139774399	0.000836034948686246	0.0102521073999481	-0.846355479160695
LOC101926962	1.11605080440683	0.778234943952869	2.3384812992286	0.0264696736327695	0.116846895733264	-4.04296026332569
LOC286052	1.11613740914861	6.04836925816475	2.59114195773107	0.0148232607943789	0.0781185511727073	-3.52263485412488
AF086154 /// RP11-432J24.5	1.1167639658749	2.80566779379987	2.16486483433571	0.0387723046743452	0.152215757960374	-4.37950653028871
MYEF2	1.11680578730974	3.81984342694882	3.28067369744594	0.00269936946726129	0.0236988316050711	-1.95123226152531
MIF	1.11743396276967	10.4270242649462	5.05758254656055	2.16487469712713e-05	0.000704257992758371	2.65584145392894
C20orf85	1.11826178337686	0.713710515599216	2.24899867032379	0.0322824438162588	0.134220095202122	-4.21867325948948
OR51B4	1.11838696189454	0.913068570142351	2.17233814711382	0.0381518533027405	0.150587137500501	-4.3653963691774
VRK1	1.11991774687733	5.47050309495081	4.10443540839002	0.000301343457532993	0.00487455166518294	0.125087798263057
C10orf35	1.12063434165572	3.13058442421826	2.11604776557879	0.0430516332056923	0.163447157206087	-4.47081507571516
SOX9	1.12068549377415	7.59136237591336	3.453039725896	0.00172525875809027	0.0171868216816108	-1.53095109844765
BARD1	1.12225299157684	4.54443332269435	5.00525000781738	2.50376853422742e-05	0.000788335152945501	2.51549752149573
PCNA	1.12258860255044	7.78731485632693	4.71658797785052	5.58100919219102e-05	0.00141993321170351	1.7429172628054
CENPBD1P1 /// RPL23AP7	1.12350625257374	4.68641053213473	4.39762004663221	0.000134839672821075	0.00270138765311046	0.895057171779032
CDK4	1.12378361056384	7.9595816689486	4.70934818394022	5.69419101056096e-05	0.00143683958601671	1.72358981460703
PTGDR2	1.12423177272136	3.22140795127576	2.98678938874369	0.00568538994640945	0.0396914133391363	-2.64474228092505
CRLF1	1.12464330883893	3.63738552861478	2.18352606444444	0.0372396031216217	0.147951936726443	-4.34420795358289
ZNF674-AS1	1.12582810585947	3.17704203482823	2.43223573613325	0.021414633091747	0.10130172371639	-3.85392565086204
PCDH8	1.12615658006544	0.684141567413695	2.39948644049645	0.0230703345858346	0.106332406321542	-3.92051693125879
CCDC34	1.12622807543175	5.0596933342911	4.23327970187117	0.000211847101436095	0.00380514492962302	0.462085139023539
PABPC1 /// RLIM	1.12634652677698	10.2770332553929	5.10078936460097	1.91993028836787e-05	0.000643838580388264	2.77174548663602
HIGD1B	1.12640400727937	1.96139049394811	3.39672431749621	0.00199854217291877	0.0191703555901507	-1.66925916920031
AACS	1.12658431932006	5.9641624599112	4.75488723526369	5.01849815774957e-05	0.00131150085189189	1.84521107121901
LOC100132356	1.12691762644482	2.79810918197066	2.57744698967192	0.0153070758306696	0.0797101950596921	-3.55170399208693
OR2I1P /// OR2I1P	1.12760294442886	2.24851125948253	2.13024062438496	0.0417660847582599	0.160224810555256	-4.44442348664446
PIFO	1.12780770893647	3.38677735884682	2.27855895032243	0.0302457634036109	0.128153549856409	-4.16114840487856
PRIM2 /// PRIM2B	1.12951411719034	3.07077308956067	4.90505631780896	3.30749567807584e-05	0.000965164991914935	2.24698197926948
